,Total Volume,month,region,year
591,5674783.0,Apr,DallasFtWorth,2016.0
592,3836297.0,Apr,Denver,2016.0
593,14479132.0,Apr,GreatLakes,2016.0
594,5291683.0,Apr,Houston,2016.0
595,12854456.0,Apr,LosAngeles,2016.0
596,2858127.0,Apr,MiamiFtLauderdale,2016.0
597,12344577.0,Apr,Midsouth,2016.0
598,5145734.0,Apr,NewYork,2016.0
599,16803175.0,Apr,Northeast,2016.0
600,1774003.0,Apr,NorthernNewEngland,2016.0
601,1770674.0,Apr,Orlando,2016.0
602,1639267.0,Apr,Philadelphia,2016.0
603,5076800.0,Apr,PhoenixTucson,2016.0
604,8053655.0,Apr,Plains,2016.0
605,3294446.0,Apr,Portland,2016.0
